Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
SUSSEX IM,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,SUSSEX,WISCONSIN,USA,270,215,0.28,0.00
"SUZHOU ARISE EMBROIDERY CO., LTD",FINISHED GOODS,APPAREL,NIKE,,FAR EASTERN,SUZHOU,JIANGSU,CHINA,30,19,0.90,0.00
"SUZHOU CHOICE CHUAN COMPUTER PRINTING CO., LTD",FINISHED GOODS,APPAREL,NIKE,,FAR EASTERN,SUZHOU,JIANGSU,CHINA,51,35,0.44,0.00
SUZHOU TAIWAY APPAREL PTE LTD,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,"MUDU TOWN, WUZHONG SECTION",JIANGSU,CHINA,538,422,0.92,0.97
"TABATA  CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,NAKA-GUN,IBARAKI-PREF,JAPAN,130,40,0.60,0.00
TAE KWANG CAN THO LIMITED LIABILITY COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,CAI RANG,CAN THO,VIETNAM,2717,2509,0.75,0.00
TAE KWANG VINA,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,TAEKWANG,BIEN HOA,DONG NAI,VIETNAM,17857,15631,0.79,0.00
TAE KWANG VINA (SATELLITE),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,MY THO,TIEN GIANG,VIETNAM,5350,5091,0.95,0.00
TAE KWANG VINA JOINT STOCK COMPANY'S BRANCH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,BIEN HOA,DONG NAI,VIETNAM,10731,10109,0.80,0.00
"TAEKWANG INDUSTRY CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,TAEKWANG,GIMHAE,GYUNGNAM,SOUTH KOREA,770,262,0.35,0.02
"TAGTIME VIET TIEN CO., LTD",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,TAG TIME,BINH DUONG,BINH DUONG,VIETNAM,100,70,0.30,0.31
TAI WAH GARMENTS INDUSTRY SDN BHD (KULAI JAYA),FINISHED GOODS,APPAREL,NIKE,Collegiate,TAI WAH,JOHOR DARUL TAKZIM,JOHOR,MALAYSIA,1517,1394,0.30,0.96
TAI WAH GARMENTS INDUSTRY SDN. BHD (SEGAMAT),FINISHED GOODS,APPAREL,NIKE,Collegiate,TAI WAH,SEGAMAT,JOHOR,MALAYSIA,866,829,0.53,0.64
TAI WAH GARMENTS INDUSTRY SDN. BHD.- KL1,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,KLUANG,JOHOR,MALAYSIA,798,780,0.23,0.75
"TAICHUNG SHUIHING LABEL WEAVING CO., LTD.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,AVERY DENNISON,TAICHUNG,T'AI-WAN,TAIWAN,86,70,0.80,0.21
TAITAT PUTRA REJEKI,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,BOGOR,WEST JAVA,INDONESIA,82,68,0.65,0.00
"TAT CHEN FIBER CO., LTD.",MATERIALS,MATERIALS,NIKE,,JOY TEXTILE,TAOYUAN,T'AI-WAN,TAIWAN,,,0.00,0.00
TEAM EDITION APPAREL,FINISHED GOODS,APPAREL,NIKE,,TEAM EDITION APPAREL,BRADENTON,FLORIDA,USA,259,224,0.66,0.00
TEAM EFFORT INCORPORATED,FINISHED GOODS,EQUIPMENT,NIKE,Collegiate,TEAM EFFORT,CLARION,IOWA,USA,29,11,0.76,0.00
TECNOSPORT LATINOAMERICANA S.A.,FINISHED GOODS,FOOTWEAR,NIKE,,ANIGER,LUJAN,BUENOS AIRES,ARGENTINA,199,150,0.25,0.04
TEXLAN CENTER (PRIVATE) LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,MINUWANGODA,SRI LANKA,SRI LANKA,665,501,0.47,0.00
TEXTEL SPORT TECH S.A.,FINISHED GOODS,APPAREL,NIKE,,SPORT TECH,SAN MARTIN,BUENOS AIRES,ARGENTINA,145,124,0.55,0.45
TÊXTIL H.J.HERING LTDA,FINISHED GOODS,APPAREL,NIKE,,TEXTIL H.J. HERING,INDAIAL,SANTA CATARINA,BRAZIL,308,291,0.76,0.01
TEXTIL ROCLAN S.A.,FINISHED GOODS,EQUIPMENT,NIKE,,TEXTIL ROCLAN,CAPITAL FEDERAL,BUENOS AIRES,ARGENTINA,185,160,0.54,0.11
TEXTIL SPORT TECH S.A.,FINISHED GOODS,APPAREL,NIKE,,SPORT TECH,LUJAN,BUENOS AIRES,ARGENTINA,75,69,0.72,0.26
TEXTILES INTERNATIONAL OF EGYPT LTD.,FINISHED GOODS,APPAREL,NIKE,,TIE TEXTILES,CAIRO,CAIRO,EGYPT,1224,660,0.56,0.00
"TEXTILES LA PAZ, L.L.C.",FINISHED GOODS,APPAREL,"NIKE, HURLEY",,FUN TEES,EL ROSARIO LA PAZ,DEPTO DE LA PAZ,EL SALVADOR,2246,1650,0.52,0.00
"TEXTURERIAS, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,,TEXTURERIAS,SANTIAGO TIANGUISTENCO,ESTADO  DE MEXICO,MEXICO,377,273,0.62,0.00
"THAI SOCK CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",,THAI SOCKS,PRAPRADAENG,SAMUTPRAKARN,THAILAND,833,632,0.72,0.02
"THE HADDAD APPAREL WUXI, CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,WUXI,JIANGSU,CHINA,68,55,0.75,0.00
"THERMOS (HUAI AN) HOUSEWARES CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,HUAIAN,JIANGSU,CHINA,67,38,0.75,0.00
THOMAS E GOERGEN ATELIER DE CALÇADOS LTDA ME,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DASS,SANTA CLARA DO SUL,RIO GRANDE DO SUL,BRAZIL,66,62,0.99,0.00
"THUAN PHUONG EMBROIDERIES & GARMENTS CO., LTD - BINH CHANH FACTORY",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,BINH CHANH DISTRICT,THANH PHO HO CHI MINH,VIETNAM,1435,1117,0.83,0.00
"THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HO CHI MINH CITY,THANH PHO HO CHI MINH,VIETNAM,1377,971,0.72,0.00
"TIONG  LIONG INDUSTRIAL CO., LTD.",MATERIALS,MATERIALS,NIKE,,TLC,TAICHUNG CITY,,TAIWAN,,,0.00,0.00
TIONG LIONG (CHINA),MATERIALS,MATERIALS,NIKE,,TLC,FUQING CITY,FUJIAN,CHINA,,,0.00,0.00
TIONG LIONG (TAIWAN),MATERIALS,MATERIALS,NIKE,,TLC,TAICHUNG,T'AI-WAN,TAIWAN,,,0.00,0.00
TIONG LIONG (TAIWAN) (ZHANGSHUI RD),MATERIALS,MATERIALS,NIKE,,TLC,PITOU,T'AI-WAN,TAIWAN,,,0.00,0.00
TIONG LIONG (VIETNAM),MATERIALS,MATERIALS,NIKE,,TLC,THUAN AN,BINH DUONG PROVINCE,VIETNAM,,,0.00,0.00
"TIONG LIONG INDUSTRIAL CO., LTD. (TAIWAN) (DOUYUAN RD.)",MATERIALS,MATERIALS,NIKE,,TLC,PITOU,T'AI-WAN,TAIWAN,,,0.00,0.00
TMI VIETNAM CO LTD (MDC),FINISHED GOODS,APPAREL,NIKE,Collegiate,TUNG MUNG,HO CHI MINH CITY,THANH PHO HO CHI MINH,VIETNAM,2075,898,0.70,0.00
TMI ZHONGSHAN CO LTD,FINISHED GOODS,APPAREL,NIKE,Collegiate,TUNG MUNG,ZHONG SHAN,GUANGDONG,CHINA,560,501,0.68,0.00
TNG INVESTMENT AND TRADING JSC - DAI TU,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,THAI NGUYEN,THAI NGUYEN,VIETNAM,1580,1257,0.80,0.00
TOCCALINO CARLOS JAVIER Y TOCCALINO DANIEL ANTONIO S.H.,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,LUJAN,BUENOS AIRES,ARGENTINA,28,26,0.61,0.00
TONG HONG CHINA,MATERIALS,MATERIALS,NIKE,,TONG HONG,BEIHAI,GUANGXI,CHINA,,,0.00,0.00
TONG HONG VIETNAM,MATERIALS,MATERIALS,NIKE,,TONG HONG,TAN THANH,BINH DUONG,VIETNAM,,,0.00,0.00
TOP SUMMIT GARMENT INC.,FINISHED GOODS,APPAREL,NIKE,,SABRINA,KANDAL,,CAMBODIA,3987,3423,0.09,0.03
TORAY SAKAI CO. LTD.,MATERIALS,MATERIALS,NIKE,,TORAY SAKAI CO. LTD.,JIANG SU,JIANGSU,CHINA,,,0.00,0.00
TOUNG LOONG TEXTILE MFG. CO. LTD.,MATERIALS,MATERIALS,NIKE,,RAY FABRICS (CHUNRIH RD),TAOYUAN,T'AI-WAN,TAIWAN,,,0.00,0.00
"TOYAMA SPORTS GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,TOYAMA SPORTS,NANTO,TOYAMA,JAPAN,4,,0.25,0.00
"TRAX INTERTRADE CO., LTD",FINISHED GOODS,APPAREL,"NIKE, HURLEY",,NO SUPPLIER GROUP,ROI-ET,NORTHEASTERN,THAILAND,1863,1600,0.70,0.00
TTG CO. LTD.,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,TIEN GIANG,,VIETNAM,57,36,0.33,0.00
TUKES PRINTING,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,TREMONT,PENNSYLVANIA,USA,51,43,0.73,0.00
"TUNG HSIN ENTERPRISES CO., LTD.",MATERIALS,MATERIALS,NIKE,,"ECLAT TEXTILE CO., LTD.",TAOYUAN,T'AI-PEI,TAIWAN,,,0.00,0.00
TUNG MUNG TEXTILE CO(VN)PTE.LTD,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,HO CHI MINH,BINH DUONG,VIETNAM,866,522,0.89,0.00
"U.S. EMBROIDERY, LLC",FINISHED GOODS,APPAREL,NIKE,Collegiate,US EMBROIDERY,WILSONVILLE,OREGON,USA,16,12,0.88,0.00
UNIPAX CO. LTD (MDC),FINISHED GOODS,APPAREL,NIKE,,DADA,BIEN HOA,DONG NAI,VIETNAM,121,95,0.96,0.00
"UNIPAX CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,DADA,BIEN HOA CITY,DONG NAI,VIETNAM,1668,1388,0.96,0.00
UNITED CREATION OPTICAL,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",,NO SUPPLIER GROUP,DONGGUAN,GUANGDONG,CHINA,198,180,0.50,0.00
"UNITED SWEETHEARTS GARMENT (VIETNAM) CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,UNITED SWEETHEART,DONG NAI,DONG NAI,VIETNAM,2383,2076,0.88,0.85
UNITED SWEETHEARTS GARMENT SDN BHD,FINISHED GOODS,APPAREL,NIKE,,UNITED SWEETHEART,SUNGAI  BAKAP,PENANG,MALAYSIA,969,776,0.22,0.84
"UNIVERSAL SPORTING GOODS (THAILAND) CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,Collegiate,UNIVERSAL,NAKORNPRATHOM,,THAILAND,490,375,0.79,0.34
"VEGA BALL MANUFACTURING CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,"VEGA BALL MANUFACTURING CO.,LTD.",MUANG,SAMUTPRAKARN,THAILAND,511,419,0.77,0.00
"VERTEX APPAREL CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,HONG SENG,WARINCHAMRAB,UBONRATCHATHANI,THAILAND,3553,2068,0.70,0.45
VERTICAL KNITS S.A. DE C.V.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,VERTICAL KNITS,BACA,YUCATAN,MEXICO,2201,1421,0.41,0.00
VERTICAL KNITS S.A. DE C.V. (MDC - TIZIMIN),FINISHED GOODS,APPAREL,NIKE,,VERTICAL KNITS,TIZIMIN,"YUCATAN, MEXICO",MEXICO,433,364,0.44,0.00
"VIET HONG GARMENT EXPORT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,BEN TRE,BEN TRE,VIETNAM,2278,1974,0.70,0.00
VIET KHANH COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,TIEN GIANG,TIEN GIANG,VIETNAM,1722,1508,0.65,0.14
VIET LONG HUNG GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,GO CONG TOWN,TIEN GIANG,VIETNAM,1744,1525,0.78,0.00
"VIET NAM DONA GOLD LONG JOHN INTL CO., LTD.",MATERIALS,MATERIALS,NIKE,,GOLD LONG JOHN,NHON TRACH DISTRICT,DONG NAI PROVINCE,VIETNAM,,,0.00,0.00
VIET NAM PAIHO LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,TAIWAN PAIHO,HO CHI MINH CITY,THANH PHO HO CHI MINH,VIETNAM,2338,2043,0.58,0.02
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,HO CHI MINH,THANH HOA,VIETNAM,2225,2115,0.72,0.00
VIET TIEN GARMENT CORPORATION,FINISHED GOODS,APPAREL,NIKE,Collegiate,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,VIETNAM,2694,2579,0.71,0.00
VIETNAM CHINGLUH SHOES CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,BEN LUC COUNTY,LONG AN PROVINCE,VIETNAM,22428,17373,0.78,0.22
VIETNAM MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,,TAEKWANG,TAY NINH,TAY NINH,VIETNAM,15318,13877,0.83,0.00
VIETNAM POU SUNG CO. LTD.,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,POU CHEN,TRANG BOM,DONG NAI,VIETNAM,16957,14650,0.84,0.00
VILLA VICTORIA,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,ESTADO DE MEXICO,CP,MEXICO,630,600,0.66,0.00
VIMAL CLOTHING ENTERPRISE CC,FINISHED GOODS,APPAREL,NIKE,,VIMAL CLOTHING,DURBAN,KWAZULU NATAL,SOUTH AFRICA,341,184,0.92,0.00
VINH HIEP PRINTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,HO CHI MINH CITY,THANH PHO HO CHI MINH,VIETNAM,161,143,0.54,0.00
"VINH HUNG - JOINT VENTURE CO., LTD (TMI VIETNAM)",FINISHED GOODS,APPAREL,NIKE,Collegiate,TUNG MUNG,HO CHI MINH,HO CHI MINH CITY,VIETNAM,2064,1551,0.64,0.00
"VINH LONG FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,CONVERSE,,LAI YI / BAO YI,LONG HO,VINH LONG,VIETNAM,9033,7339,0.82,0.00
VINH TIEN GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,VINH LONG,VINH LONG,VIETNAM,2089,1990,0.79,0.00
"VUNG TAU ORIENT CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,FENG TAY,VUNG TAU,BA RIA- VUNG TAU,VIETNAM,1366,1009,0.62,0.00
W.S. CALÇADOS LTDA.,FINISHED GOODS,FOOTWEAR,CONVERSE,,NO SUPPLIER GROUP,NOVA PETRÓPOLIS,RS,BRAZIL,93,92,0.83,0.00
"WALT TECHNOLOGY GROUP CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, HURLEY",,ZHEJIANG WALT,HAINING,ZHEJIANG,CHINA,910,500,0.73,0.00
WAN WAY,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,TAINAN,TAIWAN,TAIWAN,11,6,0.45,0.00
"WELLPOWER  SPORTING  GOODS  CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,WELLPOWER,DONGGUAN,SHENZHEN,CHINA,1579,1349,0.74,0.00
"WILSON INT'L IND CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,GUANG DER,DONGGUAN,GUANGDONG,CHINA,547,458,0.59,0.00
"WORLDON VIETNAM CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,NINGBO,HO CHI MINH,THANH PHO HO CHI MINH,VIETNAM,10495,9950,0.91,0.00
"XINCHANG SHOES CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DEAN SHOES,XINNING,GUANGDONG,CHINA,4621,4334,0.88,0.00
YANCHENG XINBO APPAREL CO. LTD,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,YANCHENG,JIANGSU,CHINA,198,159,0.81,0.00
"YANGZHOU BAOYI  SHOES MANUFACTURING CO.,LTD.",FINISHED GOODS,FOOTWEAR,CONVERSE,,LAI YI / BAO YI,YANG ZHOU,JIANGSU,CHINA,2787,2321,0.80,0.00
"YANGZHOU BAOYI (ZHONGSHAN ) SHOES MANUFACTURING CO.,LTD.",FINISHED GOODS,FOOTWEAR,CONVERSE,,LAI YI / BAO YI,ZHONGSHAN,GUANGDONG,CHINA,16,,0.69,0.00
"YEGIN INDUSTRY (VIETNAM) CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,XIAMEN PULSA,TAN PHUOC DISTRICT,TIEN GIANG,VIETNAM,894,608,0.75,0.16
YESIM TEKSTIL SANAYI VE TICARET  A.S.,MATERIALS,MATERIALS,NIKE,,YESIM,BURSA,BURSA,TURKEY,,,0.00,0.00
YESTERWEAR,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,LUMBERTON,NEW JERSEY,USA,70,55,0.60,0.00
YICHANE CO.LTD,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,TAINAN,T'AI-WAN,TAIWAN,30,12,0.86,0.00
"YICHUN YISEN INDUSTRY CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,POU CHEN,YICHUN CITY,JIANGXI PROVINCE,CHINA,3246,2829,0.97,0.04
YIECHANG,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,FENG YUAN,TAICHUNG,TAIWAN,46,36,0.58,0.28
"YONGZHOU KAIXIANG SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,YONGZHOU,HUNAN,CHINA,1151,1035,0.89,0.07
"YOON TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,,JOONGANG,BUSAN,BUSAN,SOUTH KOREA,,,0.00,0.00
YOU YOUNG,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,BUSAN,KOREA,SOUTH KOREA,239,86,0.17,0.00
YOU YOUNG (KOREA),MATERIALS,MATERIALS,"NIKE, CONVERSE",,YOU YOUNG,BUSAN,,SOUTH KOREA,,,0.00,0.00
YOU YOUNG (VIETNAM),MATERIALS,MATERIALS,NIKE,,YOU YOUNG,BEN CAT,BINH DUONG,VIETNAM,,,0.00,0.00
YOUNG IL LEATHER CO. (KOREA),MATERIALS,MATERIALS,NIKE,,YOUNG IL,SAHA-GU,BUSAN,SOUTH KOREA,,,0.00,0.00
YOUNG IL VIETNAM,MATERIALS,MATERIALS,NIKE,,YOUNG IL,TRANG BANG DISTRICT,TAY NINH,VIETNAM,,,0.00,0.00
"YOUNG POONG TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,,JOONGANG,BUSAN,SOUTH GYEONGSANG,SOUTH KOREA,,,0.00,0.00
"YRC TEXTILE CO.,LTD.",MATERIALS,MATERIALS,NIKE,,YRC,KRATOOMBAN,SAMUTSAKORN,THAILAND,,,0.00,0.00
YUAN LING,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,YUAN LING,CHANGHUA CITY,T'AI-WAN,TAIWAN,245,116,0.47,0.63
"YUMEI(SHANTOU GARMENTS CO., LTD)",FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,EAGLE NICE,SHANTOU,GUANGDONG,CHINA,2480,1762,0.75,0.00
YUPOONG VIET NAM,FINISHED GOODS,APPAREL,HURLEY,,YUPOONG,BIEN HOA CITY,DONG NAI,VIETNAM,2002,1869,0.92,0.00
"ZAO ZHUANG RUIXING SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,ZAOZHUANG CITY,SHANDONG,CHINA,2026,1916,0.96,0.00
ZHANGJIAGANG CHINA RESOURCES ACCESSORIZES CO.LTD,FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,ZHANGJIAGANG,JIANGSU,CHINA,232,202,0.78,0.00
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,ZHANGJIAJIE,HUNAN,CHINA,268,243,0.95,0.00
"ZHEJIANG CLIS FASHION CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HANGZHOU,ZHEJIANG,CHINA,46,38,0.72,0.00
ZHEJIANG GUANGTAI DELTA SOCKS CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,DELTA,"CAOTA TOWN, ZHUJI",ZHEJIANG,CHINA,241,197,0.56,0.89
ZHEJIANG QIAOER TINTING GARMENT CO LTD,FINISHED GOODS,APPAREL,NIKE,,DELTA,SHANGYU CITY,ZHEJIANG,CHINA,1213,972,0.79,0.00
ZHENJIANG TUNTEX GARMENT CO; LTD.,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,ZHENJIANG,JIANGSU,CHINA,538,401,0.90,0.00
"ZHIJIE FOOTWEAR TECHNICAL SERVICE(ZHONGSHAN)CO.,LTD..",FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,ZHONGSHAN,GUANGDONG,CHINA,658,258,0.74,0.00
"ZHONGSHAN CITY SANXIANG HENG LONG GARMENT FACTORY CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,FU SON,ZHONGSHAN,GUANGDONG,CHINA,898,509,0.59,0.79
"ZHONGSHAN WEI LI TEXTILE CO.,LTD.",FINISHED GOODS,EQUIPMENT,CONVERSE,,SUPERCAP,ZHONGSHAN,GUANGDONG,CHINA,2434,2140,0.65,0.00
"ZHUJI HENGTAI KNITTING & TEXTILE CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,DELTA,ZHUJI,ZHEJIANG,CHINA,146,135,0.59,0.84
